
input frame records: 59990
embedding missing files:  0
total matches:  190
         1782792 function calls (1754950 primitive calls) in 6.108 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.050    0.050 unicode.py:1(<module>)
     1694    0.050    0.000    0.050    0.000 :0(read)
     1917    0.010    0.000    0.049    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      122    0.002    0.000    0.049    0.000 base.py:6885(insert)
        9    0.000    0.000    0.049    0.005 typeconv.py:103(safe_unsafe)
    66042    0.049    0.000    0.049    0.000 :0(endswith)
        5    0.000    0.000    0.048    0.010 rnn.py:1(<module>)
     5416    0.011    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.047    0.047 cffi_utils.py:2(<module>)
     1508    0.004    0.000    0.047    0.000 <__array_function__ internals>:177(stack)
        2    0.000    0.000    0.046    0.023 hashing.py:1(<module>)
        1    0.000    0.000    0.046    0.046 cpu.py:1(<module>)
        2    0.000    0.000    0.046    0.023 overrides.py:1(<module>)
        1    0.000    0.000    0.045    0.045 platform.py:3(<module>)
      225    0.000    0.000    0.045    0.000 registry.py:38(target_context)
      3/2    0.000    0.000    0.044    0.022 functools.py:973(__get__)
        1    0.000    0.000    0.044    0.044 registry.py:28(_toplevel_target_context)
        1    0.000    0.000    0.044    0.044 cpu.py:39(__init__)
        1    0.000    0.000    0.044    0.044 base.py:228(__init__)
     1601    0.023    0.000    0.044    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.044    0.044 quantization_mappings.py:1(<module>)
      101    0.020    0.000    0.044    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.043    0.043 api.py:41(__init__)
     1489    0.006    0.000    0.042    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.042    0.042 parfor_lowering.py:1(<module>)
        1    0.009    0.009    0.042    0.042 :0(_initExtension)
        1    0.000    0.000    0.041    0.041 cparser.py:1(<module>)
      192    0.002    0.000    0.040    0.000 managers.py:2148(create_block_manager_from_column_arrays)
       10    0.000    0.000    0.040    0.004 common.py:1(<module>)
        3    0.000    0.000    0.040    0.013 __init__.py:340(__init__)
        3    0.040    0.013    0.040    0.013 :0(dlopen)
      259    0.001    0.000    0.040    0.000 inspect.py:3111(signature)
        1    0.000    0.000    0.039    0.039 loader.py:2(<module>)
        1    0.001    0.001    0.039    0.039 _script.py:1(<module>)
      259    0.001    0.000    0.039    0.000 inspect.py:2859(from_callable)
     5675    0.039    0.000    0.039    0.000 :0(stat)
      192    0.003    0.000    0.039    0.000 construction.py:588(_homogenize)
     2057    0.005    0.000    0.039    0.000 ffi.py:73(__exit__)
        1    0.000    0.000    0.038    0.038 ir_utils.py:6(<module>)
  267/259    0.005    0.000    0.038    0.000 inspect.py:2246(_signature_from_callable)
     3406    0.021    0.000    0.038    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.038    0.038 _tensor.py:1(<module>)
      5/3    0.000    0.000    0.038    0.013 __init__.py:10(__getattr__)
       16    0.001    0.000    0.038    0.002 utils.py:1(<module>)
      120    0.001    0.000    0.037    0.000 construction.py:627(_extract_index)
       13    0.000    0.000    0.037    0.003 enum.py:528(_convert_)
       70    0.001    0.000    0.037    0.001 construction.py:921(_list_of_dict_to_arrays)
        1    0.000    0.000    0.036    0.036 _sketches.py:1(<module>)
    13972    0.019    0.000    0.036    0.000 :0(get)
      100    0.002    0.000    0.035    0.000 serialization.py:607(load)
     2515    0.011    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.035    0.035 auto.py:1(<module>)
        9    0.000    0.000    0.035    0.004 typeconv.py:96(promote_unsafe)
     2057    0.005    0.000    0.035    0.000 ffi.py:67(__enter__)
      995    0.002    0.000    0.034    0.000 base.py:7318(ensure_index)
        1    0.000    0.000    0.034    0.034 asyncio.py:1(<module>)
        1    0.000    0.000    0.034    0.034 parfor.py:6(<module>)
     1281    0.014    0.000    0.034    0.000 typing.py:137(_type_check)
     1508    0.012    0.000    0.034    0.000 shape_base.py:357(stack)
       89    0.002    0.000    0.034    0.000 configparser.py:601(__init__)
      2/1    0.000    0.000    0.033    0.033 compiler_lock.py:32(_acquire_compile_lock)
        1    0.000    0.000    0.033    0.033 cpu.py:46(init)
    17348    0.033    0.000    0.033    0.000 :0(ravel)
        1    0.000    0.000    0.033    0.033 server_process_global_profiler.py:3(<module>)
        1    0.000    0.000    0.033    0.033 _meta_registrations.py:1(<module>)
      380    0.002    0.000    0.033    0.000 :0(std)
     2054    0.003    0.000    0.033    0.000 base.py:1249(exit_fn)
     1817    0.005    0.000    0.032    0.000 enum.py:358(__call__)
      896    0.008    0.000    0.032    0.000 templates.py:887(make_overload_template)
     5700    0.026    0.000    0.031    0.000 numeric.py:139(traceback_from_point_opt2)
     2647    0.008    0.000    0.031    0.000 castgraph.py:39(insert)
      380    0.003    0.000    0.031    0.000 _methods.py:262(_std)
      161    0.001    0.000    0.031    0.000 _decorators.py:508(__call__)
     4027    0.013    0.000    0.031    0.000 typing.py:713(__setattr__)
      437    0.020    0.000    0.030    0.000 sre_compile.py:292(_optimize_charset)
       78    0.001    0.000    0.030    0.000 _decorators.py:292(decorate)
        3    0.000    0.000    0.030    0.010 activation.py:1(<module>)
        2    0.000    0.000    0.030    0.015 array.py:1(<module>)
        1    0.000    0.000    0.030    0.030 extending.py:1(<module>)
        1    0.000    0.000    0.030    0.030 reductions.py:1(<module>)
      257    0.002    0.000    0.030    0.000 _decorators.py:391(decorator)
     2062    0.006    0.000    0.030    0.000 event.py:404(end_event)
     1381    0.009    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
        1    0.000    0.000    0.028    0.028 dylib.py:1(<module>)
     2054    0.003    0.000    0.028    0.000 base.py:1246(enter_fn)
     4124    0.008    0.000    0.028    0.000 event.py:209(broadcast)
     1171    0.013    0.000    0.028    0.000 :0(maybe_convert_objects)
        2    0.000    0.000    0.028    0.014 misc.py:1(<module>)
      380    0.016    0.000    0.028    0.000 _methods.py:195(_var)
     5624    0.014    0.000    0.028    0.000 :0(max)
     1966    0.005    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.027    0.027 __init__.py:133(_ensure_critical_deps)
        1    0.000    0.000    0.027    0.027 _optional.py:1(<module>)
      259    0.008    0.000    0.027    0.000 inspect.py:2152(_signature_from_function)
        1    0.000    0.000    0.027    0.027 ssl.py:4(<module>)
        1    0.000    0.000    0.027    0.027 ffi.py:1(<module>)
      548    0.001    0.000    0.027    0.000 module.py:220(__next__)
        1    0.000    0.000    0.027    0.027 __init__.py:15(<module>)
       71    0.001    0.000    0.026    0.000 construction.py:958(_finalize_columns_and_data)
        2    0.000    0.000    0.026    0.013 dispatcher.py:388(_compile_for_args)
        1    0.000    0.000    0.026    0.026 __init__.py:9(<module>)
        1    0.000    0.000    0.026    0.026 nrt.py:19(initialize)
       22    0.000    0.000    0.026    0.001 std.py:1478(display)
        1    0.000    0.000    0.025    0.025 parser.py:5(<module>)
        1    0.000    0.000    0.025    0.025 codegen.py:1(<module>)
14867/14866    0.022    0.000    0.025    0.000 :0(join)
      174    0.002    0.000    0.025    0.000 typing.py:832(__getitem__)
        1    0.000    0.000    0.025    0.025 datapipe.py:1(<module>)
     2062    0.006    0.000    0.025    0.000 event.py:390(start_event)
       71    0.000    0.000    0.025    0.000 construction.py:1038(_convert_object_array)
        1    0.000    0.000    0.025    0.025 nrtdynmod.py:205(compile_nrt_functions)
        3    0.000    0.000    0.025    0.008 conv.py:2(<module>)
       71    0.001    0.000    0.025    0.000 construction.py:1060(<listcomp>)
      248    0.002    0.000    0.025    0.000 extending.py:155(wrap)
     2070    0.007    0.000    0.025    0.000 abstract.py:48(_intern)
     3406    0.018    0.000    0.025    0.000 <frozen importlib._bootstrap>:87(acquire)
       15    0.001    0.000    0.025    0.002 enum.py:475(_create_)
      316    0.002    0.000    0.025    0.000 overrides.py:170(decorator)
      541    0.002    0.000    0.024    0.000 construction.py:1054(convert)
       89    0.010    0.000    0.024    0.000 configparser.py:1320(__init__)
      248    0.001    0.000    0.024    0.000 extending.py:138(register_jitable)
      171    0.002    0.000    0.024    0.000 extending.py:205(decorate)
       20    0.000    0.000    0.024    0.001 std.py:1339(refresh)
     2137    0.006    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        3    0.000    0.000    0.024    0.008 typeconv.py:110(unsafe_unsafe)
      254    0.001    0.000    0.024    0.000 typing.py:841(copy_with)
      190    0.005    0.000    0.024    0.000 alignment.py:167(border_argmaxpool)
     6925    0.010    0.000    0.024    0.000 generic.py:45(_instancecheck)
        1    0.000    0.000    0.024    0.024 pythonapi.py:1(<module>)
        1    0.000    0.000    0.023    0.023 feedparser.py:5(<module>)
     3406    0.016    0.000    0.023    0.000 <frozen importlib._bootstrap>:112(release)
     1448    0.005    0.000    0.023    0.000 base.py:371(insert_func_defn)
    12670    0.016    0.000    0.023    0.000 utils.py:475(sublist_iterator)
        1    0.000    0.000    0.023    0.023 base_events.py:1(<module>)
        1    0.000    0.000    0.023    0.023 series.py:1(<module>)
        3    0.000    0.000    0.023    0.008 categorical.py:1(<module>)
      618    0.004    0.000    0.023    0.000 typing.py:677(__init__)
      754    0.008    0.000    0.023    0.000 enum.py:88(__setitem__)
       83    0.001    0.000    0.023    0.000 typing.py:472(Optional)
        1    0.000    0.000    0.022    0.022 typeof.py:1(<module>)
        1    0.000    0.000    0.022    0.022 reduction.py:10(<module>)
      478    0.002    0.000    0.022    0.000 value.py:206(is_declaration)
    23245    0.022    0.000    0.022    0.000 :0(rstrip)
        9    0.000    0.000    0.022    0.002 typeconv.py:84(unsafe)
    16825    0.015    0.000    0.022    0.000 :0(issubclass)
     2001    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
       11    0.000    0.000    0.022    0.002 castgraph.py:128(safe)
        1    0.000    0.000    0.022    0.022 _typing.py:1(<module>)
      190    0.021    0.000    0.022    0.000 numeric.py:259(embedding_local_similarity)
      100    0.002    0.000    0.022    0.000 serialization.py:989(_load)
        1    0.000    0.000    0.022    0.022 inspect.py:1(<module>)
     6928    0.013    0.000    0.022    0.000 sre_parse.py:255(get)
        1    0.000    0.000    0.021    0.021 multiarray.py:1(<module>)
      189    0.006    0.000    0.021    0.000 :0(sum)
    11864    0.021    0.000    0.021    0.000 :0(match)
      192    0.001    0.000    0.021    0.000 managers.py:1840(_consolidate_inplace)
     1256    0.021    0.000    0.021    0.000 :0(open_code)
        3    0.000    0.000    0.021    0.007 _optional.py:90(import_optional_dependency)
        1    0.000    0.000    0.021    0.021 boolean.py:1(<module>)
        1    0.000    0.000    0.021    0.021 find_first_use_of_broken_modules.py:1(<module>)
        1    0.000    0.000    0.021    0.021 resolver.py:2(<module>)
      191    0.001    0.000    0.021    0.000 std.py:1212(update)
       66    0.000    0.000    0.021    0.000 utils.py:333(disp_len)
       87    0.002    0.000    0.020    0.000 __init__.py:199(_make_prim)
       66    0.000    0.000    0.020    0.000 utils.py:329(_text_width)
        6    0.000    0.000    0.020    0.003 _jit_internal.py:814(_overload_method)
        1    0.000    0.000    0.020    0.020 socket.py:4(<module>)
        1    0.000    0.000    0.020    0.020 npydecl.py:1(<module>)
     7431    0.014    0.000    0.020    0.000 sre_parse.py:165(__getitem__)
        1    0.000    0.000    0.020    0.020 containers.py:1(<module>)
     9123    0.020    0.000    0.020    0.000 :0(rpartition)
        1    0.000    0.000    0.020    0.020 __init__.py:146(_load_global_deps)
        1    0.000    0.000    0.020    0.020 __init__.py:332(Version)
        1    0.000    0.000    0.020    0.020 numpy_support.py:1(<module>)
     3768    0.012    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.020    0.020 arraylike.py:1(<module>)
     1214    0.003    0.000    0.020    0.000 construction.py:399(extract_array)
        1    0.000    0.000    0.020    0.020 gradcheck.py:1(<module>)
        1    0.000    0.000    0.020    0.020 masked.py:1(<module>)
        2    0.000    0.000    0.020    0.010 interval.py:1(<module>)
        1    0.000    0.000    0.019    0.019 randomimpl.py:1(<module>)
      141    0.004    0.000    0.019    0.000 sre_compile.py:560(_compile_info)
        1    0.000    0.000    0.019    0.019 package_exporter.py:1(<module>)
      100    0.019    0.000    0.019    0.000 :0(avg_pool1d)
     5679    0.013    0.000    0.019    0.000 <frozen importlib._bootstrap>:878(__exit__)
        1    0.000    0.000    0.019    0.019 _base.py:1(<module>)
     1256    0.006    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        1    0.000    0.000    0.019    0.019 __init__.py:10(<module>)
     1256    0.009    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
     1381    0.012    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
       11    0.000    0.000    0.018    0.002 dataclasses.py:1012(wrap)
       11    0.002    0.000    0.018    0.002 dataclasses.py:809(_process_class)
     2996    0.007    0.000    0.018    0.000 event.py:243(notify)
        7    0.000    0.000    0.018    0.003 codegen.py:781(_finalize_final_module)
     1091    0.006    0.000    0.018    0.000 construction.py:744(_try_cast)
     4027    0.011    0.000    0.018    0.000 typing.py:665(_is_dunder)
        2    0.000    0.000    0.018    0.009 indexing.py:1(<module>)
        1    0.000    0.000    0.018    0.018 typeddict.py:1(<module>)
    11324    0.015    0.000    0.018    0.000 :0(setattr)
      838    0.002    0.000    0.018    0.000 typing.py:466(<genexpr>)
        1    0.000    0.000    0.017    0.017 typedlist.py:1(<module>)
      106    0.002    0.000    0.017    0.000 :0(load)
      192    0.004    0.000    0.017    0.000 managers.py:2219(_form_blocks)
        1    0.000    0.000    0.017    0.017 c_parser.py:9(<module>)
      435    0.002    0.000    0.017    0.000 base.py:7437(_maybe_cast_data_without_dtype)
        1    0.000    0.000    0.017    0.017 subprocess.py:10(<module>)
       36    0.001    0.000    0.017    0.000 inspect.py:809(findsource)
      170    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
       96    0.002    0.000    0.017    0.000 metadata.py:462(search)
      190    0.003    0.000    0.017    0.000 alignment.py:117(get_borderline)
     2087    0.006    0.000    0.017    0.000 <__array_function__ internals>:177(concatenate)
     4664    0.008    0.000    0.017    0.000 :0(add)
        1    0.000    0.000    0.016    0.016 _policybase.py:1(<module>)
      166    0.001    0.000    0.016    0.000 overload_glue.py:126(_build)
        1    0.000    0.000    0.016    0.016 nanops.py:1(<module>)
       70    0.001    0.000    0.016    0.000 managers.py:2285(_consolidate)
        1    0.000    0.000    0.016    0.016 _utils_internal.py:1(<module>)
       22    0.000    0.000    0.016    0.001 std.py:1164(__str__)
     5679    0.011    0.000    0.016    0.000 <frozen importlib._bootstrap>:874(__enter__)
